Primary Type,Location Description,Arrest,Domestic,Year
OFFENSE INVOLVING CHILDREN,residence,1,False,2022
NARCOTICS,sidewalk,1,False,2023
CRIMINAL DAMAGE,parking lot / garage (non residential),0,False,2023
THEFT,parking lot / garage (non residential),0,False,2023
SEX OFFENSE,residence,0,False,2021
ROBBERY,bank,1,False,2022
MOTOR VEHICLE THEFT,other (specify),1,False,2022
BURGLARY,residence - porch / hallway,1,False,2023
BATTERY,street,1,True,2023
BATTERY,residence - garage,0,True,2022
HOMICIDE,street,1,False,2023
BATTERY,cta platform,1,False,2024
BATTERY,sidewalk,1,False,2024
HOMICIDE,alley,1,False,2023
HOMICIDE,apartment,1,True,2023
ROBBERY,residence,0,False,2021
OTHER OFFENSE,residence,0,True,2022
OFFENSE INVOLVING CHILDREN,residence,0,True,2022
SEX OFFENSE,apartment,1,False,2022
SEX OFFENSE,residence,0,False,2022
WEAPONS VIOLATION,street,0,False,2022
SEX OFFENSE,apartment,0,True,2022
BATTERY,apartment,1,True,2022
SEX OFFENSE,apartment,0,True,2023
OFFENSE INVOLVING CHILDREN,residence,0,True,2023
OFFENSE INVOLVING CHILDREN,residence,0,True,2023
DECEPTIVE PRACTICE,auto / boat / rv dealership,1,False,2023
SEX OFFENSE,residence,0,True,2022
OFFENSE INVOLVING CHILDREN,residence,0,True,2023
STALKING,police facility / vehicle parking lot,1,False,2023
MOTOR VEHICLE THEFT,street,1,False,2023
WEAPONS VIOLATION,sidewalk,1,False,2024
SEX OFFENSE,apartment,1,True,2023
THEFT,department store,1,False,2023
THEFT,street,1,False,2023
CRIMINAL DAMAGE,residence,1,True,2023
THEFT,street,1,True,2023
CRIMINAL TRESPASS,cha parking lot / grounds,1,False,2023
DECEPTIVE PRACTICE,street,1,False,2023
THEFT,department store,1,False,2023
THEFT,department store,1,False,2023
CRIMINAL TRESPASS,restaurant,1,False,2023
THEFT,grocery food store,1,False,2023
BATTERY,street,1,False,2023
THEFT,appliance store,1,False,2023
THEFT,small retail store,1,False,2023
MOTOR VEHICLE THEFT,street,1,False,2023
CRIMINAL DAMAGE,parking lot / garage (non residential),1,False,2023
CRIMINAL DAMAGE,residence,1,True,2023
THEFT,department store,1,False,2023
CRIMINAL DAMAGE,apartment,1,True,2023
THEFT,small retail store,1,False,2023
BATTERY,street,1,False,2023
BATTERY,residence,1,True,2023
MOTOR VEHICLE THEFT,residence,1,False,2023
BATTERY,apartment,1,True,2023
OTHER OFFENSE,street,0,False,2023
MOTOR VEHICLE THEFT,street,1,False,2023
OTHER OFFENSE,street,1,False,2023
BATTERY,residence,1,True,2023
OTHER OFFENSE,street,1,False,2023
OTHER OFFENSE,street,1,False,2023
MOTOR VEHICLE THEFT,residence - garage,0,True,2023
OTHER OFFENSE,street,1,False,2023
ASSAULT,apartment,1,True,2023
OTHER OFFENSE,street,1,False,2023
OTHER OFFENSE,street,1,False,2023
BURGLARY,apartment,0,False,2023
DECEPTIVE PRACTICE,unknown,0,False,2023
BATTERY,apartment,1,True,2023
DECEPTIVE PRACTICE,residence,0,False,2023
HOMICIDE,car wash,1,False,2021
ROBBERY,cha parking lot / grounds,0,False,2022
MOTOR VEHICLE THEFT,parking lot / garage (non residential),0,False,2023
PROSTITUTION,street,0,False,2023
THEFT,residence - porch / hallway,0,False,2023
BATTERY,residence,0,True,2023
OFFENSE INVOLVING CHILDREN,residence,0,False,2023
PROSTITUTION,street,0,False,2023
DECEPTIVE PRACTICE,apartment,0,False,2023
MOTOR VEHICLE THEFT,street,1,False,2023
THEFT,grocery food store,0,False,2023
BATTERY,residence,0,False,2023
THEFT,street,0,False,2023
CRIMINAL DAMAGE,residence,0,False,2023
CRIMINAL DAMAGE,vehicle non-commercial,0,False,2023
MOTOR VEHICLE THEFT,street,0,False,2023
THEFT,cta bus,0,False,2023
CRIMINAL DAMAGE,commercial / business office,0,False,2023
CRIMINAL DAMAGE,street,0,False,2023
CRIMINAL DAMAGE,street,0,False,2023
BATTERY,apartment,0,True,2023
BATTERY,apartment,0,False,2023
BATTERY,apartment,0,True,2023
OTHER OFFENSE,other (specify),0,False,2023
THEFT,street,0,False,2023
BURGLARY,park property,0,False,2023
MOTOR VEHICLE THEFT,parking lot / garage (non residential),0,False,2023
ASSAULT,other (specify),0,False,2023
THEFT,park property,0,False,2023
THEFT,small retail store,0,False,2023
MOTOR VEHICLE THEFT,street,0,False,2023
CRIMINAL DAMAGE,street,0,False,2023
ASSAULT,apartment,0,False,2023
CRIMINAL DAMAGE,street,0,True,2023
CRIMINAL DAMAGE,street,0,False,2023
BURGLARY,grocery food store,0,False,2023
THEFT,street,0,False,2023
CRIMINAL DAMAGE,street,0,False,2023
DECEPTIVE PRACTICE,residence,0,False,2023
OFFENSE INVOLVING CHILDREN,apartment,1,True,2023
OTHER OFFENSE,residence,1,True,2023
ASSAULT,alley,0,True,2023
ASSAULT,other (specify),0,True,2023
NARCOTICS,street,1,False,2023
OTHER OFFENSE,residence,0,True,2023
ROBBERY,sidewalk,0,False,2023
THEFT,street,0,False,2023
CRIMINAL TRESPASS,bank,1,False,2023
MOTOR VEHICLE THEFT,apartment,0,False,2023
CRIMINAL DAMAGE,street,0,False,2023
DECEPTIVE PRACTICE,apartment,0,False,2023
MOTOR VEHICLE THEFT,street,0,False,2023
THEFT,street,0,False,2023
BURGLARY,apartment,0,False,2023
CRIMINAL TRESPASS,residence,0,False,2023
MOTOR VEHICLE THEFT,residence,0,False,2023
ASSAULT,drug store,0,False,2023
CRIMINAL DAMAGE,residence - garage,0,False,2023
DECEPTIVE PRACTICE,apartment,0,False,2023
BATTERY,apartment,0,True,2023
BATTERY,sidewalk,0,True,2023
BATTERY,apartment,0,False,2023
BURGLARY,parking lot / garage (non residential),1,False,2023
MOTOR VEHICLE THEFT,street,0,False,2023
OTHER OFFENSE,apartment,0,True,2023
ROBBERY,small retail store,0,False,2023
THEFT,vehicle non-commercial,0,False,2023
ASSAULT,apartment,0,False,2023
BATTERY,residence - yard (front / back),0,False,2023
MOTOR VEHICLE THEFT,street,0,False,2023
STALKING,residence - yard (front / back),0,False,2023
OTHER OFFENSE,residence,0,False,2023
CRIMINAL DAMAGE,street,0,False,2023
BURGLARY,residence,0,False,2023
BURGLARY,residence - garage,0,False,2023
BATTERY,apartment,1,True,2023
CRIMINAL TRESPASS,bar or tavern,1,False,2023
CRIMINAL TRESPASS,residence - yard (front / back),0,False,2023
THEFT,street,0,False,2023
THEFT,small retail store,0,False,2023
MOTOR VEHICLE THEFT,street,0,False,2023
MOTOR VEHICLE THEFT,parking lot / garage (non residential),0,False,2023
ASSAULT,apartment,0,True,2023
MOTOR VEHICLE THEFT,street,0,True,2023
THEFT,street,0,False,2023
BURGLARY,residence,0,False,2023
KIDNAPPING,street,0,False,2023
ROBBERY,bar or tavern,1,False,2023
THEFT,lakefront / waterfront / riverbank,0,False,2023
ROBBERY,street,0,True,2023
BATTERY,street,0,False,2023
DECEPTIVE PRACTICE,residence,0,False,2023
ASSAULT,street,0,False,2023
ROBBERY,parking lot / garage (non residential),0,False,2023
SEX OFFENSE,apartment,0,False,2021
CRIMINAL DAMAGE,street,0,False,2023
THEFT,street,0,False,2023
ARSON,street,0,False,2023
THEFT,street,0,False,2023
THEFT,parking lot / garage (non residential),0,False,2023
